Dokumentas,Skyrius,Dalykas,Klasė,Turinio tema,Nr,Sritis-tema,Mokymosi turinys
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.1. ,'Laiko suvokimas (I) ir skaičiavimas skirtingais istoriniais laikotarpiais. ',"'Nagrinėjamas laiko skaičiavimas senosiose civilizacijose: saulės, vandens, ugnies, smėlio laikrodžiai. Analizuojami šiuolaikiniai kalendoriai (pasirinktinai, Julijaus, Grigaliaus ar musulmonų). Mokoma(si) apie laiko skaičiavimą iki Kristaus ir po. Apibūdinama civilizacijos sąvoka.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.2.,'Laiko suvokimas (II) ir skaičiavimas istorijos moksle. ',"'Aiškinamasi, kas yra dešimtmetis, amžius, epocha, laikotarpis. Susipažįstama su romėniškaisiais skaičiais. Laiko juosta: asmeninės laiko juostos kūrimas ir Lietuvos istorijos įvykių žymėjimas (nuolatinis pildymas). Žemėlapis: istorinių objektų, įvykių ir kitų svarbių vietų žymėjimas Lietuvos ir (ar) gyvenamosios vietovės žemėlapyje (nuolatinis pildymas). Apibrėžiama amžiaus, dešimtmečio, epochos, laikotarpio sąvokų reikšmė.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.3.,"'Praeitis kaip detektyvas (I): istorijos liudytojai mūsų aplinkoje. Kultūros paveldo, esančio artimoje aplinkoje, aplankymas ir aptarimas: maldos namai, dvaro sodyba, piliakalnis, kapinės ir kt. '","'Nagrinėjama pasirinkto istorinio paminklo savo mieste ar kitoje Lietuvos vietovėje istorija: atsiradimas, idėja, įgyvendinimas, reikšmė. Apibūdinama paveldo sąvoka.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.4.,'Praeitis kaip detektyvas (II): istorijos pažinimo būdai. ',"'Aiškinamasi istorinio įvykio nagrinėjimo schema. Aptariamas skirtingų sričių mokslininkų (archeologijos, antropologijos, istorijos) bendradarbiavimas tyrinėjant praeitį. Susipažįstama su partizano Adolfo Ramanausko-Vanago ar sukilimo vado Zigmanto Sierakausko palaikų atradimo istorijomis. Aptariamos antropologijos, archeologijos, numizmatikos, restauravimo sąvokos.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.5.,'Visi turi savo istoriją: istorijos tyrimų objektas. ',"'Nagrinėjami istorijos tyrimų objekto pavyzdžiai artimoje aplinkoje: kaimo, miestelio ar miesto istorija. Aiškinamasi genealoginio medžio sudarymo bruožai. Apibūdinamos genealogijos, kraštotyros sąvokos.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.6. ,'Rašytiniai praeities pažinimo šaltiniai ir istorijos rašymas. ',"'Aiškinamasi, kas yra rašytinis šaltinis: istorinis dokumentas, laiškas, dienoraštis ar kitoks rašytinis šaltinis. Istorinio pasakojimo kūrimas apie save ar apie kitą: CV (Curriculum vitae), biografija, atsiminimai. Aptariamos archyvo, biografijos, CV sąvokos.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.7. ,"'Istorinių simbolių, ženklų ir herbų istorija. '","'Aiškinamasi herbo kūrimo principai: formų, simbolių ir spalvų istorinės prasmės. Nagrinėjamos Lietuvos Respublikos vėliavos ir herbo atsiradimo istorijos. Aiškinamasi kitų pagrindinių Lietuvos valstybės simbolių ir (ar) istorinių didikų giminių herbų reikšmes. Apibūdinama heraldikos sąvoka.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.8. ,'Gyvenimo praeityje rekonstrukcija. ','Susipažįstama su žymiausiais Lietuvos istorinės rekonstrukcijos klubais ir jų veikla. Analizuojami senovinių šokių ir dainų atkūrėjų Lietuvoje pasirinkti pavyzdžiai. Apibūdinama rekonstrukcijos sąvoka.'
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.9. ,"'Istorija mene: dailėje, literatūroje ir kompiuterizuotoje erdvėje. '","'Nagrinėjama, kaip istoriniai įvykiai vaizduojami dailėje (pasirinktų dailininkų kūriniuose vaizduojamų istorinių temų aptarimas). Susipažįstama su knyga, komiksais ar animacija kaip kuriamos istorijos pasakojimo forma vaikams. Pasirinktų knygų vaikams apie praeitį aptarimas (susitikimas su autoriumi). Aptariama galerijos sąvoka.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,"'23.1 Praeitis, dabartis ir istorijos mokslas'",23.1.10.,"'Muziejus kaip praeities pažinimo vieta. Apsilankymas arčiausiai mokyklos esančiame muziejuje, jo istorijos ir ekspozicijos aptarimas. '",'Nagrinėjama pasirinkto Lietuvos muziejaus atsiradimo istorija ir šiandieninė ekspozicija. Apibūdinamos ekspozicijos ir eksponato sąvokos.'
