Mokslo metai,Klase,Dalykas,Ugdymo proceso savaitė,Turinio sritis,Skyrius,Tema,Skiriamų valandų skaičius 70 proc,Skiriamų valandų skaičius 30 proc,Ugdomi pasiekimai,Ugdomos kompetencijos,Integracija,Pastabos
2024-2025,5,Istorija,1,"Praeitis, dabartis ir istorijos mokslas'",1. Įvadas,Įvadas į 5 klasės istorijos kursą ',1,,D1,Pažinimo,,Privalomos valandos
2024-2025,5,Istorija,1,"Praeitis, dabartis ir istorijos mokslas'",2. Kaip išmatuoti laiką?,Kodėl ir kaip žmonės seka laiką?',1,,B1,Komunikavimo,,Privalomos valandos
2024-2025,5,Istorija,2,"Praeitis, dabartis ir istorijos mokslas'",2. Kaip išmatuoti laiką?,Pirmieji laikrodžiai ir kalendoriai: kaip reikėjo gyventi be laikrodžių ir kalendorių? Metų skaičiavimo sistemos ir metai prieš ir po Kristaus',1,,B1,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,2,"Praeitis, dabartis ir istorijos mokslas'",3. Laiko juosta,Kaip sudėti istoriją į laiko juostą?',1,,B1,Komunikavimo,,Privalomos valandos
2024-2025,5,Istorija,3,"Praeitis, dabartis ir istorijos mokslas'",3. Laiko juosta,Istorijos laikotarpiai',1,,A1,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,3,"Praeitis, dabartis ir istorijos mokslas'",3. Laiko juosta,"Istorijos įvykius galime žymėti ne tik laiko juostoje, bet ir žemėlapyje'",1,,B1,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,4,"Praeitis, dabartis ir istorijos mokslas'",3. Laiko juosta,Apibendrinimo pamoka  ',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,4,"Praeitis, dabartis ir istorijos mokslas'",4. Istorija kaip kelionė ir atradimai,Ką galime sužinoti apie praeitį vaikščiodami po apylinkes?  ',1,,A2,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,5,"Praeitis, dabartis ir istorijos mokslas'",4. Istorija kaip kelionė ir atradimai,Kodėl ir kaip atsiranda istorijos paminklų? Kodėl jie skiriasi? ',1,,A2,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,5,"Praeitis, dabartis ir istorijos mokslas'",5. Kodėl praeitis gali virsti detektyvu?,Gedimino kalno mįslė ir Lietuvos kario Adolfo Ramanausko-Vanago palaikų paieškų detektyvas',1,,A1,Pilietiškumo,,Privalomos valandos
